"编号","开始答题时间","结束答题时间","自定义字段","6.你还希望这个时间管理App里面有什么功能呢？What functions do you want in this app?",
"20","2018-03-11 15:46:48","2018-03-11 16:14:09","","可以每天固定时间弹出来提示 有没有要记得东西 因为我本人经常要记 但又忘了…我觉得最好加一个记账功能 定好每个月生活费 例如2000 周一到周五花多少 周六日花多少 然后 每天打卡",
"21","2018-03-11 16:14:58","2018-03-11 16:18:17","","天气预报",
"22","2018-03-11 16:19:26","2018-03-11 16:20:59","","页面尽量简约吧，因为要加进去的东西很多，页面本来就很复杂的话会看起来很烦。",
"23","2018-03-11 16:20:29","2018-03-11 16:21:21","",".",
"24","2018-03-11 16:27:08","2018-03-11 16:27:49","","有刘尼玛",
"25","2018-03-11 16:07:40","2018-03-11 16:27:52","","Hi，我之前参加苹果训练营的时候，在app设计方面讨论过这个主题。当时有一个大家都觉得挺好的功能，你们可以考虑一下它的实用性。功能如下：原因：大家在管理时间一开始的时候，都没有办法准确预估这个事件的时间花费，这样的功能可以慢慢的帮助大家去更妥善的管理时间并且认知时间成本。详细功能：1，假如你们的时间管理软件是与做一件事有关，比如：【完成某科笔记】，你设定时间为半小时，半小时以后手机会提醒，你的时间已经用完了，这时候你可以可以有两个选择：选择一「完成目前工作」此选择下你的手机将自动帮你把这个工作延长15分钟。选择二「标注完成情况」同时，系统提示让你标注你此项工作的完成百分比。后续：当一天事件完成后，可以设置系统提示今天未做完的日程，即百分比不是100的日程。你可以选择现在完成或留到第二天。2，当个人数据增多时，系统可以提示名字相同或相似的日程的完成时间或者拖延情况让用户直接选择。总结：这个功能对我来说好用的地方是，我经常会忘记我今天要做的一些小事情，或者是当时没做完的事情，在这种日程管理软件下会减少这种情况的发生，另外，目前现在时间管理方面，track型的app较多，往这个方向靠拢但又不显得死板是一个不错的考虑方向。但我是个外行啦不知道其中的困难，如果能帮到你们或给你们一些灵感我就已经很开心啦(｡･ω･｡)ﾉ",
"26","2018-03-11 16:25:10","2018-03-11 16:27:55","",".",
"27","2018-03-11 16:27:40","2018-03-11 16:28:06","","小游戏",
"28","2018-03-11 16:28:58","2018-03-11 16:29:29","","暂无",
"29","2018-03-11 16:28:42","2018-03-11 16:29:37","","睡眠时间提醒",
"30","2018-03-11 16:35:14","2018-03-11 16:36:05","","前一天写后一天要做的事，自动帮我合理分配时间",
"31","2018-03-11 16:40:54","2018-03-11 16:42:02","","模块式记录事件",
"32","2018-03-11 16:50:04","2018-03-11 16:50:58","","时间汇总",
"33","2018-03-11 16:53:42","2018-03-11 16:54:31","","没了",
"34","2018-03-11 16:54:16","2018-03-11 16:55:08","","奖励机制",
"35","2018-03-11 16:53:22","2018-03-11 16:55:41","","奖惩功能",
"36","2018-03-11 16:54:57","2018-03-11 16:56:26","","没了吧",
"37","2018-03-11 16:59:37","2018-03-11 17:00:35","","好友",
"38","2018-03-11 17:00:21","2018-03-11 17:02:02","","简单易用，能快速创建代办事项",
"39","2018-03-11 17:08:58","2018-03-11 17:11:44","","能够后台统计分析时间使用效率",
"40","2018-03-11 17:16:00","2018-03-11 17:17:53","","无",
"41","2018-03-11 17:24:49","2018-03-11 17:26:07","","友好的用户界面",
"42","2018-03-11 17:34:39","2018-03-11 17:35:40","","遗忘所有",
"43","2018-03-11 17:37:03","2018-03-11 17:38:20","","纪念日提醒功能",
"44","2018-03-11 17:38:43","2018-03-11 17:39:49","","番茄钟",
"45","2018-03-11 17:41:51","2018-03-11 17:43:03","","有起床闹钟",
"46","2018-03-11 18:01:52","2018-03-11 18:03:20","","可以有数据分析功能，让使用者对自己的时间利用情况一目了然。",
"47","2018-03-11 18:02:21","2018-03-11 18:06:05","","联机 可以做成一个网络社区",
"48","2018-03-11 18:41:04","2018-03-11 18:41:39","","小游戏",
"49","2018-03-11 18:50:54","2018-03-11 18:51:27","","无",
"50","2018-03-11 19:23:45","2018-03-11 19:25:51","","提醒功能",
"51","2018-03-11 19:37:47","2018-03-11 19:39:00","","好看一点",
"52","2018-03-11 20:35:34","2018-03-11 20:36:32","","nothing",
"53","2018-03-11 20:34:25","2018-03-11 20:38:19","","有奖励功能",
"54","2018-03-11 22:23:11","2018-03-11 22:24:34","","闹钟",
"55","2018-03-11 22:31:04","2018-03-11 22:33:08","","希望还有一些能够提醒日程和分析时间安排合理度的功能",
"56","2018-03-11 22:39:09","2018-03-11 22:39:33","","no",
"57","2018-03-11 22:59:13","2018-03-11 23:00:40","","疯狂提醒功能",
"58","2018-03-11 23:01:01","2018-03-11 23:02:02","","闹钟！！！自己设置背景！！！",
"59","2018-03-11 23:04:42","2018-03-11 23:06:19","","支持导入例如Google calendar的日程安排",
"60","2018-03-11 23:19:08","2018-03-11 23:20:32","","希望界面好看些",
"61","2018-03-11 23:30:12","2018-03-11 23:31:35","","提供类似于Siri的AI做的一些基础服务",
"62","2018-03-11 23:40:13","2018-03-11 23:42:26","","语音输入和拍照功能",
"63","2018-03-11 23:41:45","2018-03-11 23:43:01","","记账[奸笑]",
"64","2018-03-12 00:08:43","2018-03-12 00:10:14","","提供每项任务的优先性",
"65","2018-03-12 00:16:48","2018-03-12 00:19:55","","免费！没广告 ui美观 支持快捷手势 短信聊天记录等智能识别待办事项 结合原生日历应用 可以有奖励措施比如成就系统 每天定时提醒建立一天计划 关键还是使用顺手 功能各种软件差异性不大 可以参考最贵的omni的设计 上下文之类的还是很厉害的",
"66","2018-03-12 00:36:49","2018-03-12 00:38:37","","可以制定譬如一周或者一天计划的表格",
"67","2018-03-12 01:45:35","2018-03-12 01:48:02","","想完成怎么都完成了 所以",
"68","2018-03-12 02:05:39","2018-03-12 02:06:14","","帮我写assignment",
"69","2018-03-12 02:34:06","2018-03-12 02:35:21","","闹钟功能",
"70","2018-03-11 23:04:24","2018-03-12 07:14:57","","对事情的紧急程度可以分个等级区分",
"71","2018-03-12 07:34:04","2018-03-12 07:36:56","","No",
"72","2018-03-12 08:23:34","2018-03-12 08:24:15","","日程安排实时提醒",
"73","2018-03-12 08:28:31","2018-03-12 08:29:27","","还在想",
"74","2018-03-12 08:59:53","2018-03-12 09:00:44","","完成计划即给予一些奖励～",
"75","2018-03-12 09:29:21","2018-03-12 09:29:58","","无",
"76","2018-03-12 09:34:47","2018-03-12 09:35:24","","好友",
"77","2018-03-12 09:46:00","2018-03-12 09:47:17","","分享",
"78","2018-03-12 09:46:38","2018-03-12 09:47:37","","倒计时，顺计时功能",
"79","2018-03-12 09:46:43","2018-03-12 09:47:37","","可以网络同步，有时间提醒功能",
"80","2018-03-12 09:47:26","2018-03-12 09:48:26","","没什么概念",
"81","2018-03-12 09:47:31","2018-03-12 09:48:30","","不要涉及隐私",
"82","2018-03-12 09:47:09","2018-03-12 09:48:49","","不希望",
"83","2018-03-12 09:46:47","2018-03-12 09:48:58","","社交功能",
"84","2018-03-12 09:47:31","2018-03-12 09:49:03","","完成任务有奖励",
"85","2018-03-12 09:48:03","2018-03-12 09:49:17","","设定事项时间，到时间提醒，在进行事项时不能打开qq微信之类的app",
"86","2018-03-12 09:48:27","2018-03-12 09:49:29","","智能提醒",
"87","2018-03-12 09:47:30","2018-03-12 09:49:33","","不读取隐私信息",
"88","2018-03-12 10:30:16","2018-03-12 10:30:56","","加入照片 可以記帳",
"89","2018-03-12 12:02:44","2018-03-12 12:07:07","","自动删除已经完成的任务或者已经是过去时间线的功能",
"90","2018-03-12 12:02:36","2018-03-12 12:08:06","","Just like some lectures about time management methods.",
"91","2018-03-12 13:49:18","2018-03-12 13:54:16","","找女朋友",
"92","2018-03-12 14:27:38","2018-03-12 14:28:12","","forest",
"93","2018-03-12 14:28:37","2018-03-12 14:29:01","","无",
"94","2018-03-12 14:28:38","2018-03-12 14:29:13","","人性化，弹性化",
"95","2018-03-12 14:27:57","2018-03-12 14:29:39","","规划时间",
"96","2018-03-12 14:28:32","2018-03-12 14:29:41","","奖励机制",
"97","2018-03-12 14:30:02","2018-03-12 14:30:20","","没有",
"98","2018-03-12 14:31:11","2018-03-12 14:32:21","","苹果手机也能用 我要当学霸苹果就用不了",
"99","2018-03-12 14:34:11","2018-03-12 14:34:39","","闹钟",
"100","2018-03-12 14:40:20","2018-03-12 14:42:16","","改掉拖延症毛病相关的内容推送",
"101","2018-03-12 14:47:13","2018-03-12 14:47:59","","有趣有内涵",
"102","2018-03-12 14:49:25","2018-03-12 14:50:16","","打卡？",
"103","2018-03-12 14:56:25","2018-03-12 14:58:12","","统计分析用时投入",
"104","2018-03-12 15:04:59","2018-03-12 15:05:53","","交流管理时间的功能？",
"105","2018-03-12 14:59:19","2018-03-12 15:08:54","","奖励",
"106","2018-03-12 15:15:30","2018-03-12 15:16:48","","打卡形式",
"107","2018-03-12 15:26:49","2018-03-12 15:27:15","","我也不知道哦",
"108","2018-03-12 15:28:42","2018-03-12 15:30:05","","推荐事项，能根据主人的日常推荐一些计划或者安排",
"109","2018-03-12 15:37:05","2018-03-12 15:38:49","","没啥希望的了",
"110","2018-03-12 15:40:38","2018-03-12 15:41:35","","。。",
"111","2018-03-12 15:46:53","2018-03-12 15:48:15","","界面要设计的好看，颜值即正义",
"112","2018-03-12 15:56:32","2018-03-12 15:57:13","","提醒功能",
"113","2018-03-12 16:18:44","2018-03-12 16:20:31","","添加一些对生活安排的",
"114","2018-03-12 16:30:09","2018-03-12 16:31:29","","能够冻结手机一段时间，到时开启备忘录可以在屏幕上面显示",
"115","2018-03-12 16:29:00","2018-03-12 16:32:02","","有语音播报吧…不然坚持下去可能没信心…",
"116","2018-03-12 16:38:21","2018-03-12 16:40:11","","事件提示和同类事件归档",
"117","2018-03-12 16:54:34","2018-03-12 16:55:37","","分享功能",
"118","2018-03-12 17:05:47","2018-03-12 17:08:24","","如果对于一些有deadline但是用户没有明确执行时间安排的任务，如果app能够自动根据用户空闲时间安排这些任务，会是一个不错的功能。",
"119","2018-03-12 18:46:10","2018-03-12 18:46:45","","经常提醒",
"120","2018-03-12 19:40:58","2018-03-12 19:42:57","","计划可以在App里调整，如果有什么要紧的事情，计划可以随时改变",
"121","2018-03-12 19:44:47","2018-03-12 19:47:17","","比如记录或者奖励的功能？就是使用app进行合理的时间管理后能有虚拟的奖励类似的。",
